Date,day,month,year,weekday,Predicted_Sales
2025-06-30,30,6,2025,0,2079.5903000000008
2025-07-01,1,7,2025,1,2878.9231999999984
2025-07-02,2,7,2025,2,1994.9322999999997
2025-07-03,3,7,2025,3,1876.6201999999987
2025-07-04,4,7,2025,4,1135.0559999999987
2025-07-05,5,7,2025,5,1079.4047999999996
2025-07-06,6,7,2025,6,1978.4328000000005
2025-07-07,7,7,2025,0,1624.1072999999988
2025-07-08,8,7,2025,1,689.0609999999994
2025-07-09,9,7,2025,2,1481.6122999999993
2025-07-10,10,7,2025,3,1983.17
2025-07-11,11,7,2025,4,1370.5909000000001
2025-07-12,12,7,2025,5,957.6702999999999
2025-07-13,13,7,2025,6,1166.1218
2025-07-14,14,7,2025,0,863.1094
2025-07-15,15,7,2025,1,1122.7132999999992
2025-07-16,16,7,2025,2,3125.023599999999
2025-07-17,17,7,2025,3,2907.7856000000006
2025-07-18,18,7,2025,4,2991.5357000000013
2025-07-19,19,7,2025,5,2861.289000000002
2025-07-20,20,7,2025,6,3667.4800999999993
2025-07-21,21,7,2025,0,3132.8334000000004
2025-07-22,22,7,2025,1,2062.0887
2025-07-23,23,7,2025,2,3324.541499999998
2025-07-24,24,7,2025,3,3554.106799999998
2025-07-25,25,7,2025,4,2962.737100000001
2025-07-26,26,7,2025,5,1380.8203000000008
2025-07-27,27,7,2025,6,1508.0828000000008
2025-07-28,28,7,2025,0,2674.2842
2025-07-29,29,7,2025,1,1546.9322999999997
